Município,Distrito,Nome,2024
Salvaterra de Magos,Santarém,Quinta-feira da Ascensão,qui. 9 maio
Santa Comba Dão,Viseu,Quinta-feira da Ascensão,qui. 9 maio
Santa Cruz da Graciosa,Açores,Senhor Santo Cristo dos Milagres,seg. 12 agosto
Santa Cruz das Flores,Açores,São João Baptista,seg. 24 junho
Santa Cruz,Madeira,Santo Amaro,seg. 15 janeiro
Santa Maria da Feira,Aveiro,São Sebastião,sáb. 20 janeiro
Santa Marta de Penaguião,Vila Real,Restauração do município,sáb. 13 janeiro
Santana,Madeira,Fundação do município (1835),sáb. 25 maio
Santarém,Santarém,São José,ter. 19 março
Santiago do Cacém,Setúbal,São Tiago,qui. 25 julho
Santo Tirso,Porto,São Bento,qui. 11 julho
São Brás de Alportel,Faro,Elevação a município,sáb. 1 junho
São João da Madeira,Aveiro,Elevação a cidade e fundação do município,sex. 11 outubro
São João da Pesqueira,Viseu,São João Baptista,seg. 24 junho
São Pedro do Sul,Viseu,São Pedro,sáb. 29 junho
São Roque do Pico,Açores,São Roque,sex. 16 agosto
São Vicente,Madeira,São Vicente,seg. 22 janeiro
Sardoal,Santarém,Elevação à categoria de vila,dom. 22 setembro
Sátão,Viseu,São Bernardo,ter. 20 agosto
Seia,Guarda,Elevação a cidade,qua. 3 julho
Seixal,Setúbal,São Pedro,sáb. 29 junho
Sernancelhe,Viseu,Festa de N.ª Srª ao Pé da Cruz,sex. 3 maio
Serpa,Beja,Nossa Senhora de Guadalupe,ter. 2 abril
Sertã,Castelo Branco,São Nuno de Santa Maria,seg. 24 junho
Sesimbra,Setúbal,Nosso Senhor Jesus das Chagas,sáb. 4 maio
Setúbal,Setúbal,Nascimento de Bocage,dom. 15 setembro
Sever do Vouga,Aveiro,São Mateus,sáb. 21 setembro
Silves,Faro,Conquista da cidade aos mouros,ter. 3 setembro
Sines,Setúbal,Elevação a vila,dom. 24 novembro
Sintra,Lisboa,São Pedro,sáb. 29 junho
Sobral de Monte Agraço,Lisboa,Quinta-feira da Ascensão,qui. 9 maio
Soure,Coimbra,São Mateus,sáb. 21 setembro
Sousel,Portalegre,Nossa Senhora do Carmo da Serra de São Miguel,seg. 1 abril
Tábua,Coimbra,Restauração da Comarca,qua. 10 abril
Tabuaço,Viseu,São João Baptista,seg. 24 junho
Tarouca,Viseu,São Miguel Arcanjo,dom. 29 setembro
Tavira,Faro,São João Baptista,seg. 24 junho
Terras de Bouro,Braga,Foral de D. Manuel I,dom. 20 outubro
Tomar,Santarém,Fundação do Castelo Templário,sex. 1 março
Tondela,Viseu,Santa Eufémia,seg. 16 setembro
Torre de Moncorvo,Bragança,São José,ter. 19 março
Torres Novas,Santarém,Quinta-feira da Ascensão,qui. 9 maio
Torres Vedras,Lisboa,São Martinho,seg. 11 novembro
Trancoso,Guarda,Batalha de São Marcos (1385),qua. 29 maio
Trofa,Porto,Criação do município,ter. 19 novembro
Vagos,Aveiro,Pentecostes / Divino Espírito Santo,seg. 20 maio
Vale de Cambra,Aveiro,Santo António,qui. 13 junho
Valença do Minho,Viana do Castelo,São Teotónio,dom. 18 fevereiro
Valongo,Porto,São João Baptista,seg. 24 junho
Valpaços,Vila Real,Criação do município,qua. 6 novembro
Velas,Açores,São Jorge,ter. 23 abril
Vendas Novas,Évora,Elevação a município,sáb. 7 setembro
Viana do Alentejo,Évora,Restauração do município,sáb. 13 janeiro
Viana do Castelo,Viana do Castelo,Nossa Senhora da Agonia,ter. 20 agosto
Vidigueira,Beja,Quinta-feira da Ascensão,qui. 9 maio
Vieira do Minho,Braga,Feira da Ladra,seg. 7 outubro
Vila de Rei,Castelo Branco,Recebimento do foral de D. Dinis,qui. 19 setembro
Vila do Bispo,Faro,São Vicente,seg. 22 janeiro
Vila do Conde,Porto,São João Baptista,seg. 24 junho
Vila do Porto,Açores,São João Baptista,seg. 24 junho
Vila Flor,Bragança,São Bartolomeu,sáb. 24 agosto
Vila Franca de Xira,Lisboa,Quinta-feira da Ascensão,qui. 9 maio
Vila Franca do Campo,Açores,São João Baptista,seg. 24 junho
Vila Nova da Barquinha,Santarém,Santo António,qui. 13 junho
Vila Nova de Cerveira,Viana do Castelo,Recebimento do foral manuelino,ter. 1 outubro
Vila Nova de Famalicão,Braga,Santo António,qui. 13 junho
Vila Nova de Foz Côa,Guarda,Outorgação do foral de D. Dinis,ter. 21 maio
Vila Nova de Gaia,Porto,São João Baptista,seg. 24 junho
Vila Nova de Paiva,Viseu,Estabelecimento e denominação da sede de concelho,sáb. 2 março
Vila Nova de Poiares,Coimbra,Restauração do município,sáb. 13 janeiro
